Metric,Value,Category
AdjOE,113.728,Offensive
AdjOE,112.631,Offensive
AdjOE,115.623,Offensive
AdjOE,113.026,Offensive
AdjOE,118.111,Offensive
AdjOE,115.342,Offensive
AdjOE,118.066,Offensive
AdjOE,119.078,Offensive
AdjOE,115.245,Offensive
AdjOE,116.391,Offensive
AdjOE,119.508,Offensive
AdjOE,114.43,Offensive
AdjOE,115.846,Offensive
AdjOE,118.588,Offensive
AdjOE,117.9,Offensive
AdjOE,116.93,Offensive
AdjOE,114.499,Offensive
AdjOE,111.331,Offensive
AdjOE,118.058,Offensive
AdjOE,119.038,Offensive
AdjOE,119.135,Offensive
AdjOE,115.019,Offensive
AdjOE,118.658,Offensive
AdjOE,117.883,Offensive
AdjOE,116.299,Offensive
AdjOE,120.691,Offensive
AdjOE,113.181,Offensive
AdjOE,115.185,Offensive
AdjOE,117.025,Offensive
AdjOE,120.336,Offensive
AdjOE,124.05,Offensive
AdjOE,119.018,Offensive
AdjOE,120.852,Offensive
AdjOE,119.302,Offensive
AdjOE,113.495,Offensive
AdjOE,112.663,Offensive
AdjOE,119.714,Offensive
AdjOE,123.931,Offensive
AdjOE,117.362,Offensive
AdjOE,118.388,Offensive
AdjOE,114.407,Offensive
AdjOE,117.258,Offensive
AdjOE,113.217,Offensive
AdjOE,115.676,Offensive
AdjOE,112.683,Offensive
AdjOE,114.476,Offensive
AdjOE,110.441,Offensive
AdjOE,117.471,Offensive
AdjOE,117.699,Offensive
AdjOE,120.932,Offensive
AdjOE,122.602,Offensive
AdjOE,115.629,Offensive
AdjOE,122.295,Offensive
AdjOE,116.974,Offensive
AdjOE,119.04,Offensive
AdjOE,118.241,Offensive
AdjOE,118.086,Offensive
AdjOE,112.068,Offensive
AdjOE,121.732,Offensive
AdjOE,115.068,Offensive
AdjOE,125.996,Offensive
AdjOE,118.213,Offensive
AdjOE,122.3,Offensive
AdjOE,119.232,Offensive
AdjOE,118.111,Offensive
AdjOE,115.759,Offensive
AdjOE,114.636,Offensive
AdjOE,112.508,Offensive
AdjOE,114.534,Offensive
AdjOE,120.476,Offensive
AdjOE,116.53,Offensive
AdjOE,119.088,Offensive
AdjOE,113.631,Offensive
AdjOE,114.367,Offensive
AdjOE,111.856,Offensive
AdjOE,120.156,Offensive
AdjOE,124.727,Offensive
AdjOE,120.68,Offensive
AdjOE,117.156,Offensive
AdjOE,118.67,Offensive
AdjOE,108.257,Offensive
AdjOE,111.257,Offensive
AdjOE,116.83,Offensive
AdjOE,119.392,Offensive
AdjOE,117.147,Offensive
AdjOE,125.992,Offensive
AdjOE,110.979,Offensive
AdjOE,118.344,Offensive
AdjOE,114.868,Offensive
AdjOE,113.341,Offensive
AdjOE,119.374,Offensive
AdjOE,116.924,Offensive
AdjOE,112.97,Offensive
AdjOE,120.985,Offensive
AdjOE,120.425,Offensive
AdjOE,112.402,Offensive
AdjOE,119.078,Offensive
AdjOE,118.283,Offensive
AdjOE,112.825,Offensive
AdjOE,113.625,Offensive
AdjOE,114.271,Offensive
AdjOE,116.145,Offensive
AdjOE,113.41,Offensive
AdjOE,116.744,Offensive
AdjOE,116.988,Offensive
AdjOE,115.854,Offensive
AdjOE,111.425,Offensive
AdjOE,115.308,Offensive
AdjOE,116.157,Offensive
AdjOE,115.801,Offensive
AdjOE,111.776,Offensive
AdjOE,120.558,Offensive
AdjOE,119.573,Offensive
AdjOE,114.645,Offensive
AdjOE,114.945,Offensive
AdjOE,114.949,Offensive
AdjOE,118.891,Offensive
AdjOE,113.952,Offensive
AdjOE,116.622,Offensive
AdjOE,117.842,Offensive
AdjOE,113.124,Offensive
AdjOE,116.494,Offensive
AdjOE,117.26,Offensive
AdjOE,113.591,Offensive
AdjOE,109.764,Offensive
AdjOE,110.935,Offensive
AdjOE,119.264,Offensive
AdjOE,109.839,Offensive
AdjOE,114.424,Offensive
AdjOE,115.374,Offensive
AdjOE,121.874,Offensive
AdjOE,122.428,Offensive
AdjOE,118.244,Offensive
AdjOE,114.191,Offensive
AdjOE,122.167,Offensive
AdjOE,116.852,Offensive
AdjOE,110.413,Offensive
AdjOE,112.132,Offensive
AdjOE,112.364,Offensive
AdjOE,118.289,Offensive
AdjOE,117.228,Offensive
AdjOE,112.72,Offensive
AdjOE,114.673,Offensive
AdjOE,110.508,Offensive
AdjOE,114.982,Offensive
AdjOE,117.016,Offensive
AdjOE,117.321,Offensive
AdjOE,124.246,Offensive
AdjOE,117.652,Offensive
AdjOE,121.588,Offensive
AdjOE,116.596,Offensive
AdjOE,114.214,Offensive
AdjOE,107.375,Offensive
AdjOE,115.42,Offensive
AdjOE,113.887,Offensive
AdjOE,116.101,Offensive
AdjOE,114.631,Offensive
AdjOE,113.372,Offensive
AdjOE,111.147,Offensive
AdjOE,119.958,Offensive
AdjOE,118.955,Offensive
AdjOE,115.602,Offensive
AdjOE,117.951,Offensive
AdjOE,120.104,Offensive
AdjOE,114.705,Offensive
AdjOE,114.45,Offensive
AdjOE,112.563,Offensive
AdjOE,110.15,Offensive
AdjOE,120.526,Offensive
AdjOE,113.793,Offensive
AdjOE,116.473,Offensive
AdjOE,116.011,Offensive
AdjOE,114.626,Offensive
AdjOE,115.655,Offensive
AdjOE,109.253,Offensive
AdjOE,113.662,Offensive
AdjOE,118.377,Offensive
AdjOE,108.323,Offensive
AdjOE,117.216,Offensive
AdjOE,111.938,Offensive
AdjOE,107.611,Offensive
AdjOE,112.61,Offensive
AdjOE,111.181,Offensive
AdjOE,118.895,Offensive
AdjOE,116.016,Offensive
AdjOE,113.542,Offensive
AdjOE,115.825,Offensive
AdjOE,117.122,Offensive
AdjOE,120.855,Offensive
AdjOE,116.806,Offensive
AdjOE,112.756,Offensive
AdjOE,109.796,Offensive
AdjOE,116.251,Offensive
AdjOE,112.454,Offensive
AdjOE,121.248,Offensive
AdjOE,118.223,Offensive
AdjOE,115.93,Offensive
AdjOE,115.462,Offensive
AdjOE,115.641,Offensive
AdjOE,112.309,Offensive
AdjOE,115.636,Offensive
AdjOE,108.923,Offensive
AdjOE,113.863,Offensive
AdjOE,111.987,Offensive
AdjOE,116.317,Offensive
AdjOE,115.578,Offensive
AdjOE,112.777,Offensive
AdjOE,117.718,Offensive
AdjOE,109.04,Offensive
AdjOE,113.01,Offensive
AdjOE,106.214,Offensive
AdjOE,116.287,Offensive
AdjOE,118.325,Offensive
AdjOE,117.446,Offensive
AdjOE,118.143,Offensive
AdjOE,118.09,Offensive
AdjOE,113.387,Offensive
AdjOE,113.13,Offensive
AdjOE,114.265,Offensive
AdjOE,115.799,Offensive
AdjOE,119.309,Offensive
AdjOE,116.787,Offensive
AdjOE,118.808,Offensive
AdjOE,112.469,Offensive
AdjOE,107.08,Offensive
AdjOE,112.73,Offensive
AdjOE,113.475,Offensive
AdjOE,120.237,Offensive
AdjOE,110.384,Offensive
AdjOE,113.251,Offensive
AdjOE,113.076,Offensive
AdjOE,115.806,Offensive
AdjOE,110.757,Offensive
AdjOE,116.742,Offensive
AdjOE,116.646,Offensive
AdjOE,114.017,Offensive
AdjOE,111.814,Offensive
AdjOE,120.105,Offensive
AdjOE,113.066,Offensive
AdjOE,112.278,Offensive
AdjOE,116.471,Offensive
AdjOE,116.199,Offensive
AdjOE,113.803,Offensive
AdjOE,111.0,Offensive
AdjOE,111.48,Offensive
AdjOE,113.259,Offensive
AdjOE,111.709,Offensive
AdjOE,116.506,Offensive
AdjOE,113.156,Offensive
AdjOE,113.991,Offensive
AdjOE,117.718,Offensive
AdjOE,114.609,Offensive
AdjOE,110.124,Offensive
AdjOE,116.133,Offensive
AdjOE,110.188,Offensive
AdjOE,114.393,Offensive
AdjOE,113.392,Offensive
AdjOE,117.664,Offensive
AdjOE,114.892,Offensive
AdjOE,114.028,Offensive
AdjOE,114.805,Offensive
AdjOE,112.833,Offensive
AdjOE,107.794,Offensive
AdjOE,108.591,Offensive
AdjOE,116.186,Offensive
AdjOE,115.516,Offensive
AdjOE,119.223,Offensive
AdjOE,117.097,Offensive
AdjOE,111.497,Offensive
AdjOE,118.142,Offensive
AdjOE,112.264,Offensive
AdjOE,108.447,Offensive
AdjOE,110.986,Offensive
AdjOE,108.042,Offensive
AdjOE,118.526,Offensive
AdjOE,116.493,Offensive
AdjOE,113.938,Offensive
AdjOE,114.475,Offensive
AdjOE,116.034,Offensive
AdjOE,112.143,Offensive
AdjOE,115.566,Offensive
AdjOE,110.13,Offensive
AdjOE,119.83,Offensive
AdjOE,119.809,Offensive
AdjOE,116.387,Offensive
AdjOE,110.859,Offensive
AdjOE,114.836,Offensive
AdjOE,115.224,Offensive
AdjOE,109.187,Offensive
AdjOE,113.842,Offensive
AdjOE,116.362,Offensive
AdjOE,112.153,Offensive
AdjOE,121.312,Offensive
AdjOE,117.65,Offensive
AdjOE,118.093,Offensive
AdjOE,117.43,Offensive
AdjOE,116.86,Offensive
AdjOE,115.968,Offensive
AdjOE,111.572,Offensive
AdjOE,111.016,Offensive
AdjOE,115.104,Offensive
AdjOE,112.264,Offensive
AdjOE,109.864,Offensive
AdjOE,110.107,Offensive
AdjOE,116.097,Offensive
AdjOE,114.461,Offensive
AdjOE,115.106,Offensive
AdjOE,116.573,Offensive
AdjOE,112.206,Offensive
AdjOE,118.878,Offensive
AdjOE,117.727,Offensive
AdjOE,113.378,Offensive
AdjOE,119.007,Offensive
AdjOE,119.543,Offensive
AdjOE,111.159,Offensive
AdjOE,116.622,Offensive
AdjOE,115.118,Offensive
AdjOE,110.833,Offensive
AdjOE,111.072,Offensive
AdjOE,110.923,Offensive
AdjOE,113.352,Offensive
AdjOE,116.066,Offensive
AdjOE,116.112,Offensive
AdjOE,122.18,Offensive
AdjOE,113.218,Offensive
AdjOE,109.653,Offensive
AdjOE,113.744,Offensive
AdjOE,109.773,Offensive
AdjOE,113.19,Offensive
AdjOE,109.246,Offensive
AdjOE,114.251,Offensive
AdjOE,114.297,Offensive
AdjOE,119.512,Offensive
AdjOE,117.932,Offensive
AdjOE,116.424,Offensive
AdjOE,114.169,Offensive
AdjOE,118.899,Offensive
AdjOE,118.364,Offensive
AdjOE,122.659,Offensive
AdjOE,119.447,Offensive
AdjOE,107.049,Offensive
AdjOE,105.474,Offensive
AdjOE,118.325,Offensive
AdjOE,113.55,Offensive
AdjOE,120.962,Offensive
AdjOE,109.943,Offensive
AdjOE,110.0,Offensive
AdjOE,116.25,Offensive
AdjOE,114.494,Offensive
AdjOE,108.054,Offensive
AdjOE,113.513,Offensive
AdjOE,114.511,Offensive
AdjOE,114.634,Offensive
AdjOE,118.921,Offensive
AdjOE,112.378,Offensive
AdjOE,115.183,Offensive
AdjOE,114.979,Offensive
AdjOE,114.999,Offensive
AdjOE,111.702,Offensive
AdjOE,114.16,Offensive
AdjOE,109.614,Offensive
AdjOE,111.597,Offensive
AdjOE,110.8,Offensive
AdjOE,116.935,Offensive
AdjOE,115.316,Offensive
AdjOE,116.465,Offensive
AdjOE,109.636,Offensive
AdjOE,114.046,Offensive
AdjOE,108.991,Offensive
AdjOE,112.049,Offensive
AdjOE,106.773,Offensive
AdjOE,115.437,Offensive
AdjOE,111.909,Offensive
AdjOE,117.283,Offensive
AdjOE,113.647,Offensive
AdjOE,111.183,Offensive
AdjOE,112.705,Offensive
AdjOE,111.448,Offensive
AdjOE,110.276,Offensive
AdjOE,107.304,Offensive
AdjOE,113.597,Offensive
AdjOE,117.807,Offensive
AdjOE,110.536,Offensive
AdjOE,116.456,Offensive
AdjOE,115.582,Offensive
AdjOE,114.943,Offensive
AdjOE,114.754,Offensive
AdjOE,113.824,Offensive
AdjOE,114.918,Offensive
AdjOE,113.541,Offensive
AdjOE,112.606,Offensive
AdjOE,114.626,Offensive
AdjOE,113.848,Offensive
AdjOE,109.339,Offensive
AdjOE,114.56,Offensive
AdjOE,119.675,Offensive
AdjOE,108.921,Offensive
AdjOE,116.7,Offensive
AdjOE,120.173,Offensive
AdjOE,112.245,Offensive
AdjOE,112.269,Offensive
AdjOE,113.096,Offensive
AdjOE,112.632,Offensive
AdjOE,112.348,Offensive
AdjOE,112.641,Offensive
AdjOE,111.384,Offensive
AdjOE,116.865,Offensive
AdjOE,116.426,Offensive
AdjOE,115.86,Offensive
AdjOE,113.229,Offensive
AdjOE,114.257,Offensive
AdjOE,112.47,Offensive
AdjOE,114.058,Offensive
AdjOE,110.72,Offensive
AdjOE,110.511,Offensive
AdjOE,113.144,Offensive
AdjOE,110.468,Offensive
AdjOE,113.504,Offensive
AdjOE,110.022,Offensive
AdjOE,110.97,Offensive
AdjOE,109.663,Offensive
AdjOE,103.793,Offensive
AdjOE,120.003,Offensive
AdjOE,115.463,Offensive
AdjOE,109.21,Offensive
AdjOE,111.13,Offensive
AdjOE,116.875,Offensive
AdjOE,111.748,Offensive
AdjOE,112.069,Offensive
AdjOE,109.639,Offensive
AdjOE,117.331,Offensive
AdjOE,114.045,Offensive
AdjOE,105.033,Offensive
AdjOE,116.541,Offensive
AdjOE,113.861,Offensive
AdjOE,113.519,Offensive
AdjOE,117.696,Offensive
AdjOE,113.542,Offensive
AdjOE,112.044,Offensive
AdjOE,117.881,Offensive
AdjOE,114.854,Offensive
AdjOE,114.298,Offensive
AdjOE,109.769,Offensive
AdjOE,119.256,Offensive
AdjOE,110.75,Offensive
AdjOE,119.144,Offensive
AdjOE,112.06,Offensive
AdjOE,110.344,Offensive
AdjOE,114.437,Offensive
AdjOE,114.291,Offensive
AdjOE,112.104,Offensive
AdjOE,116.214,Offensive
AdjOE,110.217,Offensive
AdjOE,109.512,Offensive
AdjOE,116.021,Offensive
AdjOE,117.478,Offensive
AdjOE,111.765,Offensive
AdjOE,109.411,Offensive
AdjOE,105.916,Offensive
AdjOE,112.788,Offensive
AdjOE,107.947,Offensive
AdjOE,119.404,Offensive
AdjOE,112.563,Offensive
AdjOE,110.624,Offensive
AdjOE,111.933,Offensive
AdjOE,114.237,Offensive
AdjOE,114.211,Offensive
AdjOE,112.665,Offensive
AdjOE,112.855,Offensive
AdjOE,113.333,Offensive
AdjOE,118.049,Offensive
AdjOE,111.322,Offensive
AdjOE,116.238,Offensive
AdjOE,114.532,Offensive
AdjOE,113.664,Offensive
AdjOE,108.101,Offensive
AdjOE,112.295,Offensive
AdjOE,109.027,Offensive
AdjOE,112.402,Offensive
AdjOE,114.485,Offensive
AdjOE,116.203,Offensive
AdjOE,109.838,Offensive
AdjOE,114.28,Offensive
AdjOE,111.059,Offensive
AdjOE,107.296,Offensive
AdjOE,113.396,Offensive
AdjOE,113.124,Offensive
AdjOE,107.841,Offensive
AdjOE,113.701,Offensive
AdjOE,107.71,Offensive
AdjOE,110.467,Offensive
AdjOE,107.021,Offensive
AdjOE,113.049,Offensive
AdjOE,116.198,Offensive
AdjOE,112.383,Offensive
AdjOE,116.156,Offensive
AdjOE,116.788,Offensive
AdjOE,116.296,Offensive
AdjOE,116.559,Offensive
AdjOE,117.449,Offensive
AdjOE,118.609,Offensive
AdjOE,112.323,Offensive
AdjOE,111.511,Offensive
AdjOE,118.01,Offensive
AdjOE,117.708,Offensive
AdjOE,112.062,Offensive
AdjOE,114.685,Offensive
AdjOE,116.544,Offensive
AdjOE,111.92,Offensive
AdjOE,111.186,Offensive
AdjOE,112.187,Offensive
AdjOE,116.475,Offensive
AdjOE,110.895,Offensive
AdjOE,111.811,Offensive
AdjOE,113.934,Offensive
AdjOE,116.222,Offensive
AdjOE,113.469,Offensive
AdjOE,114.626,Offensive
AdjOE,107.56,Offensive
AdjOE,112.209,Offensive
AdjOE,103.375,Offensive
AdjOE,111.408,Offensive
AdjOE,111.163,Offensive
AdjOE,114.429,Offensive
AdjOE,112.081,Offensive
AdjOE,112.98,Offensive
AdjOE,108.078,Offensive
AdjOE,114.049,Offensive
AdjOE,111.122,Offensive
AdjOE,112.291,Offensive
AdjOE,116.809,Offensive
AdjOE,112.113,Offensive
AdjOE,112.195,Offensive
AdjOE,114.146,Offensive
AdjOE,108.669,Offensive
AdjOE,114.028,Offensive
AdjOE,117.491,Offensive
AdjOE,117.094,Offensive
AdjOE,114.222,Offensive
AdjOE,111.061,Offensive
AdjOE,111.045,Offensive
AdjOE,115.529,Offensive
AdjOE,110.967,Offensive
AdjOE,114.513,Offensive
AdjOE,111.114,Offensive
AdjOE,111.347,Offensive
AdjOE,110.868,Offensive
AdjOE,111.416,Offensive
AdjOE,113.02,Offensive
AdjOE,106.624,Offensive
AdjOE,113.651,Offensive
AdjOE,115.57,Offensive
AdjOE,112.479,Offensive
AdjOE,104.477,Offensive
AdjOE,112.467,Offensive
AdjOE,112.025,Offensive
AdjOE,112.603,Offensive
AdjOE,111.034,Offensive
AdjOE,112.165,Offensive
AdjOE,110.506,Offensive
AdjOE,112.529,Offensive
AdjOE,119.359,Offensive
AdjOE,113.856,Offensive
AdjOE,117.318,Offensive
AdjOE,115.706,Offensive
AdjOE,119.862,Offensive
AdjOE,113.868,Offensive
AdjOE,113.711,Offensive
AdjOE,108.245,Offensive
AdjOE,114.567,Offensive
AdjOE,109.108,Offensive
AdjOE,110.553,Offensive
AdjOE,112.6,Offensive
AdjOE,115.182,Offensive
AdjOE,114.856,Offensive
AdjOE,113.341,Offensive
AdjOE,110.495,Offensive
AdjOE,120.629,Offensive
AdjOE,120.771,Offensive
AdjOE,106.146,Offensive
AdjOE,110.59,Offensive
AdjOE,115.283,Offensive
AdjOE,108.591,Offensive
AdjOE,114.685,Offensive
AdjOE,113.936,Offensive
AdjOE,110.115,Offensive
AdjOE,107.529,Offensive
AdjOE,112.426,Offensive
AdjOE,111.959,Offensive
AdjOE,119.157,Offensive
AdjOE,112.083,Offensive
AdjOE,112.486,Offensive
AdjOE,113.24,Offensive
AdjOE,112.084,Offensive
AdjOE,111.442,Offensive
AdjOE,107.71,Offensive
AdjOE,113.681,Offensive
AdjOE,114.701,Offensive
AdjOE,111.031,Offensive
AdjOE,116.504,Offensive
AdjOE,111.413,Offensive
AdjOE,115.033,Offensive
AdjOE,115.917,Offensive
AdjOE,112.087,Offensive
AdjOE,113.062,Offensive
AdjOE,113.294,Offensive
AdjOE,115.146,Offensive
AdjOE,111.279,Offensive
AdjOE,112.349,Offensive
AdjOE,118.373,Offensive
AdjOE,107.326,Offensive
AdjOE,114.262,Offensive
AdjOE,116.061,Offensive
AdjOE,111.468,Offensive
AdjOE,113.231,Offensive
AdjOE,110.844,Offensive
AdjOE,115.682,Offensive
AdjOE,107.064,Offensive
AdjOE,116.167,Offensive
AdjOE,107.95,Offensive
AdjOE,115.546,Offensive
