AdjOE,AdjDE,eFGPct,TOPct,ORPct,FTRate,Full Team Name,Cluster,Team Type,Group,PC1,PC2
-1.255009546856199,-0.308880385951674,-1.4641553282475936,1.8189182693804313,-0.08111371790433163,1.1676763726686186,Abilene Christian Wildcats,0,Pace & Attack,Other,-1.8857487691794474,1.9013492772443652
-0.8660872117483542,0.7176152664449587,0.1594167644989385,1.4134726247425144,-1.2122144739302718,0.9103698131975528,Air Force Falcons,0,Pace & Attack,Other,-1.4851038651431026,0.18396165273203505
0.6754347301361875,-0.38632944597411273,0.9562990442291753,-0.08573872167048772,0.681042746111532,-1.6115070132400693,Akron Zips,1,Defensive Stronghold,Other,1.0759862038692671,-0.6658311211982505
-1.5500728665912566,1.424264037374881,-1.751009828014336,2.1382916545447075,1.4121267603883358,0.7179968375751454,Alabama A&M Bulldogs,0,Pace & Attack,Other,-2.795783364420004,2.3745107522731854
2.5124286667138684,-1.3441851299081131,1.4996144021308986,-0.10892872536279916,1.5559286271783177,1.8629046821281787,Alabama Crimson Tide,1,Defensive Stronghold,Other,3.441953102492251,1.7494293346867815
-0.5489554442768788,1.0157350261114841,-1.1027714474521302,-1.9764880119442931,-0.5257424761308626,-0.38490304687267707,Alabama State Hornets,3,High Tempo Shooters,Other,-0.7660480138258347,-1.3525548918840704
-0.6037178886598398,0.7235274084314052,-0.5864447294804568,-0.8697770577903295,0.22949085494056323,-0.7414388424143037,Albany Great Danes,3,High Tempo Shooters,Other,-0.6780368832037849,-0.6462815177803569
-1.2813418366552687,0.674308826394245,-1.9713301673421764,2.1436347664557864,1.059881316036928,-0.7902799005156487,Alcorn State Braves,0,Pace & Attack,Other,-2.631134163304654,1.5863575074426173
-0.19613273046626145,0.6462261519586283,0.4381616518803374,-0.16284593252486518,-1.1903140964029952,-0.4202747318470276,American Eagles,3,High Tempo Shooters,Other,-0.46647012123604625,-1.301234301387073
-0.45427907898792985,-0.8291488807588966,0.1446679205166971,0.04657506090313421,-0.6287573154758556,0.4154315288719945,Appalachian State Mountaineers,3,High Tempo Shooters,Other,0.04520890005740034,0.044837654638465764
0.566727191286429,-1.4264821463594366,0.3370278185517657,0.8559008838704073,-0.5126207588877655,0.5520558539803837,Arizona State Sun Devils,2,Balanced Efficiency,Other,0.7749392464066754,0.6079757207057208
1.8611370085175094,-1.67233857086578,0.7403860918718813,-0.6449497655445017,1.4876907584059087,0.5275547466169788,Arizona Wildcats,1,Defensive Stronghold,Other,2.8799232592660573,1.061467230349697
0.742321198275575,-1.4899342102289648,0.7387468738223174,-0.6787671261512428,-0.33637235184376774,-0.533995925719815,Arkansas Razorbacks,1,Defensive Stronghold,Other,1.594219409116017,-0.6467381033828936
0.48213147496349557,-0.8603354297373974,-0.5267797046872043,-1.2914340076241748,0.5459688123046745,0.35308533585067114,Arkansas State Red Wolves,1,Defensive Stronghold,Other,1.0637552698168269,0.2861254733520536
-1.2583198140166612,2.577131724731791,-0.024205937707774072,1.7613935788002701,-0.7271702672763285,-0.3020546937480804,Arkansas–Pine Bluff Golden Lions,0,Pace & Attack,Other,-2.7857890689606437,-0.4154718158651238
-0.6526226586436294,0.8763562787810252,0.13251881927821982,-1.3545409890459956,-0.9120948785826037,-1.8087409631528402,Army Black Knights,3,High Tempo Shooters,Other,-0.632234424713205,-2.3640929307771184
3.24273081680604,-1.8585562630838537,1.754530066819488,-1.7993566999930637,1.5323038230650918,-0.5632882727076354,Auburn Tigers,1,Defensive Stronghold,Final Four,4.609827691144482,-0.2872452865655746
-1.1802492745244355,0.307312612585628,-1.4208096970500725,-0.9617852776376732,-1.1674403687633954,-0.46464843783053905,Austin Peay Governors,0,Pace & Attack,Other,-1.507374139213245,-1.0512400374802355
1.8043311893441392,-0.9849190417467742,2.0577989600750146,0.04629048551325324,1.104292239545294,-0.6896198173615059,BYU Cougars,1,Defensive Stronghold,Other,2.701991373694454,-0.037786899657254645
-0.23127877686129547,1.093036282584261,0.3493740084180612,-0.4802523529734888,-0.7930922895885384,2.8588965128433945,Ball State Cardinals,2,Balanced Efficiency,Other,-0.2015289018206331,0.4738981643706862
2.125549706396433,-0.9232997418930443,0.7386875182581368,-0.7878454180560664,1.4911458564660227,-0.7981966739924439,Baylor Bears,1,Defensive Stronghold,Other,2.621863957353821,0.09027807934308989
-0.5693891921809694,2.4197209443426746,0.41059878648253867,0.4559184511734966,-2.102421107085559,-1.3002033025765394,Bellarmine Knights,3,High Tempo Shooters,Other,-2.0378654593387737,-2.48269462122542
0.9863001482504079,0.7425940663376912,1.2323253470474462,-0.8411028092745003,-0.27246267110606487,-1.287487395694602,Belmont Bruins,3,High Tempo Shooters,Other,0.9647442483525402,-1.7848395069506733
-1.3999120644934016,-0.2525672335307787,-1.2525621134222773,0.7917771770664845,-0.4058094248454428,0.17852565504902293,Bethune-Cookman Wildcats,0,Pace & Attack,Other,-1.6992805822779435,0.6491391560748166
-0.7748164711100859,1.1737370206992437,0.6293958868620322,1.3204049629109003,-1.1022429603639174,-0.03758331701000192,Binghamton Bearcats,0,Pace & Attack,Other,-1.445535405029138,-0.5405674956243196
1.317871764240773,-0.762637283411382,0.8748273306486597,-0.3802712671723852,0.7300313736755255,1.0744476405793184,Boise State Broncos,1,Defensive Stronghold,Other,1.9802367056099948,0.7640568596578674
0.08326471587566125,0.5136463679125829,-0.40612376566085634,-0.08329510735726448,0.21385269420735908,-0.06590136142362278,Boston College Eagles,0,Pace & Attack,Other,-0.3024741482996692,0.03402233241173464
